Sanctuary,Site Name,EventLog ID,Latitude,Longitude,Depth,Surface/Depth,Surface Category,"Temp (degC)
Seabird FastCat 49Plus","Salinity (psu)
Seabird FastCat 49Plus","Oxygen (μmoles/L)
Aanderaa Oxygen Optode 3830",Corrected O2data (x0.813),Sample ID,Clear Fiber,Film,Blue Fiber,Fragments,Beads,Pink/red Fiber,Total
Monterey Bay NMS,Southwest Davidson Seamount,NA123-023,35.533487,-122.839857,3081.007728,Depth,"3,001-4,000",1.613135753,34.65676807,109.1062698,88.70339732,NA123-023-3.7L,161,16,99,129,0,4,409
Monterey Bay NMS,Southwest Davidson Seamount,NA123-028,35.53486043,-122.8257308,3170.360188,Depth,"3,001-4,000",1.621029743,34.65561546,108.3711727,88.10576341,NA123-028-4L,47,3,19,39,3,0,111
Monterey Bay NMS,Southwest Davidson Seamount,NA123-028,35.53486043,-122.8257308,3170.360188,Depth,"3,001-4,000",1.621029743,34.65561546,108.3711727,88.10576341,NA123-028-4L,47,3,19,39,3,0,111
Monterey Bay NMS,Southwest Davidson Seamount,NA123-028,35.53486043,-122.8257308,3170.360188,Depth,"3,001-4,000",1.621029743,34.65561546,108.3711727,88.10576341,NA123-028-50B,0,0,1,4,0,0,5
Monterey Bay NMS,Southwest Davidson Seamount,NA123-028,35.53486043,-122.8257308,3170.360188,Depth,"3,001-4,000",1.621029743,34.65561546,108.3711727,88.10576341,NA123-028-50A,0,0,1,5,0,0,6
Monterey Bay NMS,Southwest Davidson Seamount,NA123-033,35.54407133,-122.8199535,995.3470169,Depth,500-999,3.8661,34.4539,11.97185536,9.733118404,NA123-033-50A,2,0,7,8,2,0,19
Monterey Bay NMS,Southwest Davidson Seamount,NA123-033,35.54407133,-122.8199535,995.3470169,Depth,500-999,3.8661,34.4539,11.97185536,9.733118404,NA123-033-50B,2,0,4,6,0,0,12
Monterey Bay NMS,Southwest Davidson Seamount,NA123-033,35.54407133,-122.8199535,995.3470169,Depth,500-999,3.8661,34.4539,11.97185536,9.733118404,NA123-033-3.85L,110,3,94,122,2,2,333
Monterey Bay NMS,Southwest Davidson Seamount,NA123-035,35.54326643,-122.818778,47.97768967,Surface,1-100,12.00487549,32.79499847,253.1913486,205.8445664,NA123-035-50A,1,0,5,6,0,0,12
Monterey Bay NMS,Southwest Davidson Seamount,NA123-035,35.54326643,-122.818778,47.97768967,Surface,1-100,12.00487549,32.79499847,253.1913486,205.8445664,NA123-035-50B,1,0,1,5,0,0,7
Monterey Bay NMS,Southwest Davidson Seamount,NA123-035,35.54326643,-122.818778,47.97768967,Surface,1-100,12.00487549,32.79499847,253.1913486,205.8445664,NA123-035-5L,153,8,85,60,0,0,306
Monterey Bay NMS,Santa Lucia Escarpment Deep,NA123-065,34.73090077,-121.8221322,3490.8684,Depth,"3,001-4,000",1.555,34.66234566,113.7016589,92.43944866,NA123-065-50A,1,0,2,18,0,,21
Monterey Bay NMS,Santa Lucia Escarpment Deep,NA123-065,34.73090077,-121.8221322,3490.8684,Depth,"3,001-4,000",1.555,34.66234566,113.7016589,92.43944866,NA123-065-50B,2,0,0,13,0,,15
Monterey Bay NMS,Santa Lucia Escarpment Deep,NA123-065,34.73090077,-121.8221322,3490.8684,Depth,"3,001-4,000",1.555,34.66234566,113.7016589,92.43944866,NA123-065-1L,26,0,8,70,0,0,104
Monterey Bay NMS,Santa Lucia Escarpment Deep,NA123-068,34.73278711,-121.8075465,3058.086155,Depth,"3,001-4,000",1.645320417,34.65373198,107.1246121,87.09230961,NA123-068-1L?,,,,,,1,1
Monterey Bay NMS,Santa Lucia Escarpment Deep,NA123-068,34.73278711,-121.8075465,3058.086155,Depth,"3,001-4,000",1.645320417,34.65373198,107.1246121,87.09230961,NA123-068-50A,11,4,18,84,2,0,119
Monterey Bay NMS,Santa Lucia Escarpment Deep,NA123-068,34.73278711,-121.8075465,3058.086155,Depth,"3,001-4,000",1.645320417,34.65373198,107.1246121,87.09230961,NA123-068-50B,3,0,3,15,1,0,22
Monterey Bay NMS,Santa Lucia Escarpment Deep,NA123-072,34.716124,-121.7814735,2900.920739,Depth,"2,001-3,000",1.648398772,34.65406958,106.5455666,86.62154562,NA123-072-100A,1,1,4,8,0,0,14
Monterey Bay NMS,Santa Lucia Escarpment Deep,NA123-072,34.716124,-121.7814735,2900.920739,Depth,"2,001-3,000",1.648398772,34.65406958,106.5455666,86.62154562,NA123-072-100B,2,0,2,7,4,0,15
Monterey Bay NMS,Santa Lucia Escarpment Deep,NA123-072,34.716124,-121.7814735,2900.920739,Depth,"2,001-3,000",1.648398772,34.65406958,106.5455666,86.62154562,NA123-072-1L,17,0,15,13,0,0,45
Monterey Bay NMS,Santa Lucia Escarpment Deep,NA123-073,34.71628772,-121.7810222,698.3944014,Depth,500-999,4.966399652,34.36080702,3.447639951,2.80293128,NA123-073-100A,3,0,4,11,1,0,19
Monterey Bay NMS,Santa Lucia Escarpment Deep,NA123-073,34.71628772,-121.7810222,698.3944014,Depth,500-999,4.966399652,34.36080702,3.447639951,2.80293128,NA123-073-100B,3,0,6,2,0,0,11
Monterey Bay NMS,Santa Lucia Escarpment Deep,NA123-073,34.71628772,-121.7810222,698.3944014,Depth,500-999,4.966399652,34.36080702,3.447639951,2.80293128,NA123-073-500mL,2,0,6,2,0,0,10
Channel Islands NMS,South Ancapa Slope,NA122-050,33.98551313,-119.3492875,438.9977481,Depth,101-499,6.928410429,34.30034383,12.71006807,10.33328534,NA122-050-50A,4,1,6,6,3,0,20
Channel Islands NMS,South Ancapa Slope,NA122-056,33.9899525,-119.3472555,385.2788747,Depth,101-499,7.4319,34.26122814,21.23025324,17.26019588,NA122-056-50B,9,1,5,3,0,0,18
Channel Islands NMS,South Ancapa Slope,NA122-059,33.9935735,-119.345129,200.1900262,Surface,101-499,9.283900223,34.0704,87.88914299,71.45387325,NA122-059-50A,6,0,4,1,3,0,14
Channel Islands NMS,South Ancapa Slope,NA122-060,33.99323987,-119.3457959,49.62486787,Surface,1-100,12.94651942,33.45463091,211.9438062,172.3103144,NA122-060-50A,7,11,0,2,1,0,21
Channel Islands NMS,Poti Penninsula,NA122-082,33.926549,-119.4188485,395.0283431,Depth,101-499,6.752799962,34.27698563,11.86797298,9.648662031,NA122-082-50A,5,0,2,0,0,0,7
Channel Islands NMS,Offshore San Miguel,NA123-077,34.881699,-121.0384375,334.9524134,Depth,101-499,6.848517334,34.11193968,47.65172015,38.74084848,NA123-077-50A,0,0,0,4,0,0,4
Channel Islands NMS,Offshore San Miguel,NA123-077,34.881699,-121.0384375,334.9524134,Depth,101-499,6.848517334,34.11193968,47.65172015,38.74084848,NA123-077-50B,1,0,3,2,2,1,9
Channel Islands NMS,Offshore San Miguel,NA123-077,34.881699,-121.0384375,334.9524134,Depth,101-499,6.848517334,34.11193968,47.65172015,38.74084848,NA123-077-1L,11,2,13,19,0,0,45
Channel Islands NMS,Offshore San Miguel,NA123-078,34.8714145,-121.029211,198.5196092,Surface,101-499,8.9755,33.9607065,100.6716781,81.84607429,NA123-078-50A,3,1,1,3,2,0,10
Channel Islands NMS,Offshore San Miguel,NA123-078,34.8714145,-121.029211,198.5196092,Surface,101-499,8.9755,33.9607065,100.6716781,81.84607429,NA123-078-50B,1,0,1,7,1,0,10
Channel Islands NMS,Offshore San Miguel,NA123-078,34.8714145,-121.029211,198.5196092,Surface,101-499,8.9755,33.9607065,100.6716781,81.84607429,NA123-078-1L,8,0,6,11,1,1,27
Channel Islands NMS,Offshore San Miguel,NA123-079,34.8720935,-121.0298315,49.92012062,Surface,1-100,12.45573632,33.48938113,202.718209,164.8099039,NA123-079-50A,3,0,4,2,0,0,9
Channel Islands NMS,Offshore San Miguel,NA123-079,34.8720935,-121.0298315,49.92012062,Surface,1-100,12.45573632,33.48938113,202.718209,164.8099039,NA123-079-50B,0,0,1,2,0,0,3
Channel Islands NMS,Offshore San Miguel,NA123-079,34.8720935,-121.0298315,49.92012062,Surface,1-100,12.45573632,33.48938113,202.718209,164.8099039,NA123-079-1L,9,0,8,2,0,0,19
Channel Islands NMS,West San Miguel Shelf,NA123-085,34.060488,-120.560013,140.1770675,Surface,101-499,9.999510577,33.8375,135.6612979,110.2926352,NA123-085-50A,2,0,1,3,0,0,6
Channel Islands NMS,West San Miguel Shelf,NA123-085,34.060488,-120.560013,140.1770675,Surface,101-499,9.999510577,33.8375,135.6612979,110.2926352,NA123-085-50B,0,0,1,2,0,0,3
Channel Islands NMS,West San Miguel Shelf,NA123-085,34.060488,-120.560013,140.1770675,Surface,101-499,9.999510577,33.8375,135.6612979,110.2926352,NA123-085-1L,23,1,12,8,0,2,46
Channel Islands NMS,West San Miguel Shelf,NA123-090,34.06517,-120.5580909,127.5494574,Surface,101-499,9.877794263,33.86150223,134.2734773,109.1643371,NA123-090-50A,4,0,3,0,0,0,7
Channel Islands NMS,West San Miguel Shelf,NA123-090,34.06517,-120.5580909,127.5494574,Surface,101-499,9.877794263,33.86150223,134.2734773,109.1643371,NA123-090-50B,0,0,4,0,0,0,4
Channel Islands NMS,West San Miguel Shelf,NA123-090,34.06517,-120.5580909,127.5494574,Surface,101-499,9.877794263,33.86150223,134.2734773,109.1643371,NA123-090-1L,12,0,11,8,2,0,33
Channel Islands NMS,West San Miguel Shelf,NA123-097,34.06993849,-120.5613347,70.11753306,Surface,1-100,11.61329622,33.47800242,192.795125,156.7424366,NA123-097-50A,1,0,2,0,0,1,11
Channel Islands NMS,West San Miguel Shelf,NA123-097,34.06993849,-120.5613347,70.11753306,Surface,1-100,11.61329622,33.47800242,192.795125,156.7424366,NA123-097-50B,1,0,4,1,0,0,9
Channel Islands NMS,West San Miguel Shelf,NA123-097,34.06993849,-120.5613347,70.11753306,Surface,1-100,11.61329622,33.47800242,192.795125,156.7424366,NA123-097-1L,13,1,25,11,0,0,38
Channel Islands NMS,West San Miguel Shelf,NA123-098,34.0701195,-120.5616195,51.19453097,Surface,1-100,11.935,33.1071,248.0387649,201.6555159,NA123-098-50A,0,0,2,7,2,0,11
Channel Islands NMS,West San Miguel Shelf,NA123-098,34.0701195,-120.5616195,51.19453097,Surface,1-100,11.935,33.1071,248.0387649,201.6555159,NA123-098-50B,4,0,3,2,0,0,2
Channel Islands NMS,West San Miguel Shelf,NA123-098,34.0701195,-120.5616195,51.19453097,Surface,1-100,11.935,33.1071,248.0387649,201.6555159,NA123-098-1L,12,3,14,8,1,0,38
Channel Islands NMS,East Santa Cruz Canyon Wall,NA123-101,33.8933575,-119.706765,1117.479579,Depth,"1,000-2,000",4.2887,34.4578004,3.012339302,2.449031853,NA123-101-50A,2,0,2,6,0,1,11
Channel Islands NMS,East Santa Cruz Canyon Wall,NA123-101,33.8933575,-119.706765,1117.479579,Depth,"1,000-2,000",4.2887,34.4578004,3.012339302,2.449031853,NA123-101-50B,0,0,0,2,0,0,2
Channel Islands NMS,East Santa Cruz Canyon Wall,NA123-101,33.8933575,-119.706765,1117.479579,Depth,"1,000-2,000",4.2887,34.4578004,3.012339302,2.449031853,NA123-101-1L,5,0,8,8,1,1,23
